,property_title,price,area,room,bath,garage,address
592,"Apartamento com 2 Quartos à Venda, 50m²",R$ 450.000,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Muniz de Sousa, 644 - Aclimação, São Paulo - SP"
593,"Apartamento com 2 Quartos à Venda, 64m²",R$ 470.000,64,2 Quartos,2 Banheiros,1 Vaga,"Rua Dona Ana Neri - Cambuci, São Paulo - SP"
594,"Apartamento com 2 Quartos à Venda, 45m²",R$ 248.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Antônio Ambuba, 70 - Parque Munhoz, São Paulo - SP"
595,"Apartamento com Quarto à Venda, 51m²",R$ 400.000,51,1 Quarto,1 Banheiro,-- Vaga,"Avenida Angélica, 177 - Santa Cecília, São Paulo - SP"
596,"Apartamento com 4 Quartos à Venda, 160m²",R$ 1.850.000,160,4 Quartos,5 Banheiros,3 Vagas,"Rua França Pinto, 537 - Vila Mariana, São Paulo - SP"
597,"Apartamento com 2 Quartos à Venda, 54m²",R$ 450.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua do Parque, 70 - Vila Dom Pedro I, São Paulo - SP"
598,"Apartamento com 3 Quartos à Venda, 107m²",R$ 1.250.000,107,3 Quartos,4 Banheiros,3 Vagas,"Rua Sebastião Paes - Campo Belo, São Paulo - SP"
599,"Apartamento com 2 Quartos à Venda, 95m²",R$ 1.000.000,95,2 Quartos,2 Banheiros,1 Vaga,"Rua Tutóia, 342 - Vila Mariana, São Paulo - SP"
600,"Apartamento com 3 Quartos à Venda, 74m²",R$ 640.000,74,3 Quartos,3 Banheiros,2 Vagas,"Rua Afonso de Freitas, 556 - Paraíso, São Paulo - SP"
601,"Apartamento com 4 Quartos à Venda, 167m²",R$ 2.500.000,167,4 Quartos,5 Banheiros,3 Vagas,"Rua Santa Elvira, 149 - Tatuapé, São Paulo - SP"
602,"Apartamento com 3 Quartos à Venda, 97m²",R$ 600.000,97,3 Quartos,2 Banheiros,2 Vagas,"Rua Copacabana, 491 - Santa Teresinha, São Paulo - SP"
603,"Apartamento com 2 Quartos à Venda, 82m²",R$ 870.000,82,2 Quartos,2 Banheiros,2 Vagas,"Avenida Susana, 93 - Vila Gumercindo, São Paulo - SP"
604,"Apartamento com 2 Quartos à Venda, 50m²",R$ 394.990,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Doutor Afonso Vergueiro, 1101 - Vila Maria, São Paulo - SP"
605,"Apartamento com 2 Quartos à Venda, 68m²",R$ 654.900,68,2 Quartos,2 Banheiros,1 Vaga,"Rua Clemente Pereira, 665 - Ipiranga, São Paulo - SP"
606,"Apartamento com 3 Quartos à Venda, 115m²",R$ 1.850.000,115,3 Quartos,2 Banheiros,1 Vaga,"Rua Tabapuã, 222 - Itaim Bibi, São Paulo - SP"
607,"Apartamento com 2 Quartos à Venda, 45m²",R$ 217.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Farid Miguel Haddad, 235 - Vila Santa Teresa, São Paulo - SP"
608,"Apartamento com 2 Quartos à Venda, 74m²",R$ 470.000,74,2 Quartos,2 Banheiros,1 Vaga,"Avenida Paula Ferreira, 89 - Freguesia do Ó, São Paulo - SP"
609,"Apartamento com 2 Quartos à Venda, 53m²",R$ 240.000,53,2 Quartos,1 Banheiro,1 Vaga,"Avenida Alexios Jafet, 1982 - Vila Aurora, São Paulo - SP"
610,"Apartamento com 2 Quartos à Venda, 68m²",R$ 275.000,68,2 Quartos,1 Banheiro,1 Vaga,"Avenida Patente, 193 - Jardim Patente, São Paulo - SP"
611,"Apartamento com 2 Quartos à Venda, 81m²",R$ 840.000,81,2 Quartos,2 Banheiros,1 Vaga,"Avenida Vinte e Três de Maio, 2952 - Vila Mariana, São Paulo - SP"
612,"Apartamento com 2 Quartos à Venda, 56m²",R$ 269.990,56,2 Quartos,1 Banheiro,1 Vaga,"Avenida Raimundo Pereira de Magalhães, 1720 - Jardim Íris, São Paulo - SP"
613,Just,R$ 650.000,60-71,2 Quartos,2 Banheiros,1-2 Vagas,"Avenida Brigadeiro Luís Antônio, 499 - Bela Vista, São Paulo - SP"
614,"Apartamento com 2 Quartos à Venda, 92m²",R$ 1.640.000,92,2 Quartos,3 Banheiros,2 Vagas,"Rua Pássaros e Flores - Brooklin, São Paulo - SP"
615,"Apartamento com 3 Quartos à Venda, 100m²",R$ 900.000,100,3 Quartos,4 Banheiros,2 Vagas,"Rua José de Cristo Moreira, 390 - Morumbi, São Paulo - SP"
616,"Apartamento com 3 Quartos à Venda, 127m²",R$ 725.000,127,3 Quartos,4 Banheiros,3 Vagas,"Rua Tiquatira, 497 - Bosque da Saúde, São Paulo - SP"
617,"Apartamento com Quarto à Venda, 29m²",R$ 408.000,29,1 Quarto,1 Banheiro,-- Vaga,"Avenida Miruna, 51 - Moema, São Paulo - SP"
618,"Apartamento com 3 Quartos à Venda, 300m²",R$ 5.290.000,300,3 Quartos,5 Banheiros,2 Vagas,"Rua Padre João Manuel, 328 - Jardins, São Paulo - SP"
619,"Apartamento com 2 Quartos à Venda, 54m²",R$ 550.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua Domingos Rodrigues, 509 - Lapa, São Paulo - SP"
620,BELLA VISTA PAULICEIA,R$ 485.000,48,2 Quartos,1 Banheiro,-- Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
621,"Apartamento com 3 Quartos à Venda, 87m²",R$ 810.000,87,3 Quartos,2 Banheiros,2 Vagas,"Rua das Flechas, 649 - Vila Santa Catarina, São Paulo - SP"
622,"Apartamento com 2 Quartos à Venda, 77m²",R$ 1.200.000,77,2 Quartos,2 Banheiros,2 Vagas,"Rua Topázio, 701 - Vila Mariana, São Paulo - SP"
623,"Apartamento com 2 Quartos à Venda, 46m²",R$ 450.000,46,2 Quartos,1 Banheiro,1 Vaga,"Rua Alfredo Pujol, 451 - Santana, São Paulo - SP"
624,"Apartamento com 2 Quartos à Venda, 70m²",R$ 670.000,70,2 Quartos,2 Banheiros,2 Vagas,"Rua Ribeiro do Amaral, 565 - Ipiranga, São Paulo - SP"
625,"Apartamento com 3 Quartos à Venda, 124m²",R$ 1.580.000,124,3 Quartos,4 Banheiros,3 Vagas,"Rua Natingui, 165 - Vila Madalena, São Paulo - SP"
626,"Apartamento com 3 Quartos à Venda, 170m²",R$ 1.170.000,170,3 Quartos,3 Banheiros,3 Vagas,"Rua João Antônio de Oliveira, 544 - Móoca, São Paulo - SP"
627,Bella Vista Pauliceia,R$ 403.000,39-107,1-2 Quartos,1 Banheiro,1 Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
628,"Apartamento com 2 Quartos à Venda, 50m²",R$ 450.000,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Muniz de Sousa, 644 - Aclimação, São Paulo - SP"
629,"Apartamento com 2 Quartos à Venda, 64m²",R$ 470.000,64,2 Quartos,2 Banheiros,1 Vaga,"Rua Dona Ana Neri - Cambuci, São Paulo - SP"
630,"Apartamento com 2 Quartos à Venda, 45m²",R$ 248.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Antônio Ambuba, 70 - Parque Munhoz, São Paulo - SP"
631,"Apartamento com Quarto à Venda, 51m²",R$ 400.000,51,1 Quarto,1 Banheiro,-- Vaga,"Avenida Angélica, 177 - Santa Cecília, São Paulo - SP"
632,"Apartamento com 4 Quartos à Venda, 160m²",R$ 1.850.000,160,4 Quartos,5 Banheiros,3 Vagas,"Rua França Pinto, 537 - Vila Mariana, São Paulo - SP"
633,"Apartamento com 2 Quartos à Venda, 54m²",R$ 450.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua do Parque, 70 - Vila Dom Pedro I, São Paulo - SP"
634,"Apartamento com 3 Quartos à Venda, 107m²",R$ 1.250.000,107,3 Quartos,4 Banheiros,3 Vagas,"Rua Sebastião Paes - Campo Belo, São Paulo - SP"
635,"Apartamento com 2 Quartos à Venda, 95m²",R$ 1.000.000,95,2 Quartos,2 Banheiros,1 Vaga,"Rua Tutóia, 342 - Vila Mariana, São Paulo - SP"
636,"Apartamento com 3 Quartos à Venda, 74m²",R$ 640.000,74,3 Quartos,3 Banheiros,2 Vagas,"Rua Afonso de Freitas, 556 - Paraíso, São Paulo - SP"
637,"Apartamento com 4 Quartos à Venda, 167m²",R$ 2.500.000,167,4 Quartos,5 Banheiros,3 Vagas,"Rua Santa Elvira, 149 - Tatuapé, São Paulo - SP"
638,"Apartamento com 3 Quartos à Venda, 97m²",R$ 600.000,97,3 Quartos,2 Banheiros,2 Vagas,"Rua Copacabana, 491 - Santa Teresinha, São Paulo - SP"
639,"Apartamento com 2 Quartos à Venda, 82m²",R$ 870.000,82,2 Quartos,2 Banheiros,2 Vagas,"Avenida Susana, 93 - Vila Gumercindo, São Paulo - SP"
640,"Apartamento com 2 Quartos à Venda, 50m²",R$ 394.990,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Doutor Afonso Vergueiro, 1101 - Vila Maria, São Paulo - SP"
641,"Apartamento com 2 Quartos à Venda, 68m²",R$ 654.900,68,2 Quartos,2 Banheiros,1 Vaga,"Rua Clemente Pereira, 665 - Ipiranga, São Paulo - SP"
642,"Apartamento com 3 Quartos à Venda, 115m²",R$ 1.850.000,115,3 Quartos,2 Banheiros,1 Vaga,"Rua Tabapuã, 222 - Itaim Bibi, São Paulo - SP"
643,"Apartamento com 2 Quartos à Venda, 45m²",R$ 217.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Farid Miguel Haddad, 235 - Vila Santa Teresa, São Paulo - SP"
644,"Apartamento com 2 Quartos à Venda, 74m²",R$ 470.000,74,2 Quartos,2 Banheiros,1 Vaga,"Avenida Paula Ferreira, 89 - Freguesia do Ó, São Paulo - SP"
645,"Apartamento com 2 Quartos à Venda, 53m²",R$ 240.000,53,2 Quartos,1 Banheiro,1 Vaga,"Avenida Alexios Jafet, 1982 - Vila Aurora, São Paulo - SP"
646,"Apartamento com 2 Quartos à Venda, 68m²",R$ 275.000,68,2 Quartos,1 Banheiro,1 Vaga,"Avenida Patente, 193 - Jardim Patente, São Paulo - SP"
647,"Apartamento com 2 Quartos à Venda, 81m²",R$ 840.000,81,2 Quartos,2 Banheiros,1 Vaga,"Avenida Vinte e Três de Maio, 2952 - Vila Mariana, São Paulo - SP"
648,"Apartamento com 2 Quartos à Venda, 56m²",R$ 269.990,56,2 Quartos,1 Banheiro,1 Vaga,"Avenida Raimundo Pereira de Magalhães, 1720 - Jardim Íris, São Paulo - SP"
649,Just,R$ 650.000,60-71,2 Quartos,2 Banheiros,1-2 Vagas,"Avenida Brigadeiro Luís Antônio, 499 - Bela Vista, São Paulo - SP"
650,"Apartamento com 2 Quartos à Venda, 92m²",R$ 1.640.000,92,2 Quartos,3 Banheiros,2 Vagas,"Rua Pássaros e Flores - Brooklin, São Paulo - SP"
651,"Apartamento com 3 Quartos à Venda, 100m²",R$ 900.000,100,3 Quartos,4 Banheiros,2 Vagas,"Rua José de Cristo Moreira, 390 - Morumbi, São Paulo - SP"
652,"Apartamento com 3 Quartos à Venda, 127m²",R$ 725.000,127,3 Quartos,4 Banheiros,3 Vagas,"Rua Tiquatira, 497 - Bosque da Saúde, São Paulo - SP"
653,"Apartamento com Quarto à Venda, 29m²",R$ 408.000,29,1 Quarto,1 Banheiro,-- Vaga,"Avenida Miruna, 51 - Moema, São Paulo - SP"
654,"Apartamento com 3 Quartos à Venda, 300m²",R$ 5.290.000,300,3 Quartos,5 Banheiros,2 Vagas,"Rua Padre João Manuel, 328 - Jardins, São Paulo - SP"
655,"Apartamento com 2 Quartos à Venda, 54m²",R$ 550.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua Domingos Rodrigues, 509 - Lapa, São Paulo - SP"
656,BELLA VISTA PAULICEIA,R$ 485.000,48,2 Quartos,1 Banheiro,-- Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
657,"Apartamento com 3 Quartos à Venda, 87m²",R$ 810.000,87,3 Quartos,2 Banheiros,2 Vagas,"Rua das Flechas, 649 - Vila Santa Catarina, São Paulo - SP"
658,"Apartamento com 2 Quartos à Venda, 77m²",R$ 1.200.000,77,2 Quartos,2 Banheiros,2 Vagas,"Rua Topázio, 701 - Vila Mariana, São Paulo - SP"
659,"Apartamento com 2 Quartos à Venda, 46m²",R$ 450.000,46,2 Quartos,1 Banheiro,1 Vaga,"Rua Alfredo Pujol, 451 - Santana, São Paulo - SP"
660,"Apartamento com 2 Quartos à Venda, 70m²",R$ 670.000,70,2 Quartos,2 Banheiros,2 Vagas,"Rua Ribeiro do Amaral, 565 - Ipiranga, São Paulo - SP"
661,"Apartamento com 3 Quartos à Venda, 124m²",R$ 1.580.000,124,3 Quartos,4 Banheiros,3 Vagas,"Rua Natingui, 165 - Vila Madalena, São Paulo - SP"
662,"Apartamento com 3 Quartos à Venda, 170m²",R$ 1.170.000,170,3 Quartos,3 Banheiros,3 Vagas,"Rua João Antônio de Oliveira, 544 - Móoca, São Paulo - SP"
663,Bella Vista Pauliceia,R$ 403.000,39-107,1-2 Quartos,1 Banheiro,1 Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
664,"Apartamento com 2 Quartos à Venda, 50m²",R$ 450.000,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Muniz de Sousa, 644 - Aclimação, São Paulo - SP"
665,"Apartamento com 2 Quartos à Venda, 64m²",R$ 470.000,64,2 Quartos,2 Banheiros,1 Vaga,"Rua Dona Ana Neri - Cambuci, São Paulo - SP"
666,"Apartamento com 2 Quartos à Venda, 45m²",R$ 248.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Antônio Ambuba, 70 - Parque Munhoz, São Paulo - SP"
667,"Apartamento com Quarto à Venda, 51m²",R$ 400.000,51,1 Quarto,1 Banheiro,-- Vaga,"Avenida Angélica, 177 - Santa Cecília, São Paulo - SP"
668,"Apartamento com 4 Quartos à Venda, 160m²",R$ 1.850.000,160,4 Quartos,5 Banheiros,3 Vagas,"Rua França Pinto, 537 - Vila Mariana, São Paulo - SP"
669,"Apartamento com 2 Quartos à Venda, 54m²",R$ 450.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua do Parque, 70 - Vila Dom Pedro I, São Paulo - SP"
670,"Apartamento com 3 Quartos à Venda, 107m²",R$ 1.250.000,107,3 Quartos,4 Banheiros,3 Vagas,"Rua Sebastião Paes - Campo Belo, São Paulo - SP"
671,"Apartamento com 2 Quartos à Venda, 95m²",R$ 1.000.000,95,2 Quartos,2 Banheiros,1 Vaga,"Rua Tutóia, 342 - Vila Mariana, São Paulo - SP"
672,"Apartamento com 3 Quartos à Venda, 74m²",R$ 640.000,74,3 Quartos,3 Banheiros,2 Vagas,"Rua Afonso de Freitas, 556 - Paraíso, São Paulo - SP"
673,"Apartamento com 4 Quartos à Venda, 167m²",R$ 2.500.000,167,4 Quartos,5 Banheiros,3 Vagas,"Rua Santa Elvira, 149 - Tatuapé, São Paulo - SP"
674,"Apartamento com 3 Quartos à Venda, 97m²",R$ 600.000,97,3 Quartos,2 Banheiros,2 Vagas,"Rua Copacabana, 491 - Santa Teresinha, São Paulo - SP"
675,"Apartamento com 2 Quartos à Venda, 82m²",R$ 870.000,82,2 Quartos,2 Banheiros,2 Vagas,"Avenida Susana, 93 - Vila Gumercindo, São Paulo - SP"
676,"Apartamento com 2 Quartos à Venda, 50m²",R$ 394.990,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Doutor Afonso Vergueiro, 1101 - Vila Maria, São Paulo - SP"
677,"Apartamento com 2 Quartos à Venda, 68m²",R$ 654.900,68,2 Quartos,2 Banheiros,1 Vaga,"Rua Clemente Pereira, 665 - Ipiranga, São Paulo - SP"
678,"Apartamento com 3 Quartos à Venda, 115m²",R$ 1.850.000,115,3 Quartos,2 Banheiros,1 Vaga,"Rua Tabapuã, 222 - Itaim Bibi, São Paulo - SP"
679,"Apartamento com 2 Quartos à Venda, 45m²",R$ 217.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Farid Miguel Haddad, 235 - Vila Santa Teresa, São Paulo - SP"
680,"Apartamento com 2 Quartos à Venda, 74m²",R$ 470.000,74,2 Quartos,2 Banheiros,1 Vaga,"Avenida Paula Ferreira, 89 - Freguesia do Ó, São Paulo - SP"
681,"Apartamento com 2 Quartos à Venda, 53m²",R$ 240.000,53,2 Quartos,1 Banheiro,1 Vaga,"Avenida Alexios Jafet, 1982 - Vila Aurora, São Paulo - SP"
682,"Apartamento com 2 Quartos à Venda, 68m²",R$ 275.000,68,2 Quartos,1 Banheiro,1 Vaga,"Avenida Patente, 193 - Jardim Patente, São Paulo - SP"
683,"Apartamento com 2 Quartos à Venda, 81m²",R$ 840.000,81,2 Quartos,2 Banheiros,1 Vaga,"Avenida Vinte e Três de Maio, 2952 - Vila Mariana, São Paulo - SP"
684,"Apartamento com 2 Quartos à Venda, 56m²",R$ 269.990,56,2 Quartos,1 Banheiro,1 Vaga,"Avenida Raimundo Pereira de Magalhães, 1720 - Jardim Íris, São Paulo - SP"
685,Just,R$ 650.000,60-71,2 Quartos,2 Banheiros,1-2 Vagas,"Avenida Brigadeiro Luís Antônio, 499 - Bela Vista, São Paulo - SP"
686,"Apartamento com 2 Quartos à Venda, 92m²",R$ 1.640.000,92,2 Quartos,3 Banheiros,2 Vagas,"Rua Pássaros e Flores - Brooklin, São Paulo - SP"
687,"Apartamento com 3 Quartos à Venda, 100m²",R$ 900.000,100,3 Quartos,4 Banheiros,2 Vagas,"Rua José de Cristo Moreira, 390 - Morumbi, São Paulo - SP"
688,"Apartamento com 3 Quartos à Venda, 127m²",R$ 725.000,127,3 Quartos,4 Banheiros,3 Vagas,"Rua Tiquatira, 497 - Bosque da Saúde, São Paulo - SP"
689,"Apartamento com Quarto à Venda, 29m²",R$ 408.000,29,1 Quarto,1 Banheiro,-- Vaga,"Avenida Miruna, 51 - Moema, São Paulo - SP"
690,"Apartamento com 3 Quartos à Venda, 300m²",R$ 5.290.000,300,3 Quartos,5 Banheiros,2 Vagas,"Rua Padre João Manuel, 328 - Jardins, São Paulo - SP"
691,"Apartamento com 2 Quartos à Venda, 54m²",R$ 550.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua Domingos Rodrigues, 509 - Lapa, São Paulo - SP"
692,BELLA VISTA PAULICEIA,R$ 485.000,48,2 Quartos,1 Banheiro,-- Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
693,"Apartamento com 3 Quartos à Venda, 87m²",R$ 810.000,87,3 Quartos,2 Banheiros,2 Vagas,"Rua das Flechas, 649 - Vila Santa Catarina, São Paulo - SP"
694,"Apartamento com 2 Quartos à Venda, 77m²",R$ 1.200.000,77,2 Quartos,2 Banheiros,2 Vagas,"Rua Topázio, 701 - Vila Mariana, São Paulo - SP"
695,"Apartamento com 2 Quartos à Venda, 46m²",R$ 450.000,46,2 Quartos,1 Banheiro,1 Vaga,"Rua Alfredo Pujol, 451 - Santana, São Paulo - SP"
696,"Apartamento com 2 Quartos à Venda, 70m²",R$ 670.000,70,2 Quartos,2 Banheiros,2 Vagas,"Rua Ribeiro do Amaral, 565 - Ipiranga, São Paulo - SP"
697,"Apartamento com 3 Quartos à Venda, 124m²",R$ 1.580.000,124,3 Quartos,4 Banheiros,3 Vagas,"Rua Natingui, 165 - Vila Madalena, São Paulo - SP"
698,"Apartamento com 3 Quartos à Venda, 170m²",R$ 1.170.000,170,3 Quartos,3 Banheiros,3 Vagas,"Rua João Antônio de Oliveira, 544 - Móoca, São Paulo - SP"
699,Bella Vista Pauliceia,R$ 403.000,39-107,1-2 Quartos,1 Banheiro,1 Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
700,"Apartamento com 2 Quartos à Venda, 50m²",R$ 450.000,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Muniz de Sousa, 644 - Aclimação, São Paulo - SP"
701,"Apartamento com 2 Quartos à Venda, 64m²",R$ 470.000,64,2 Quartos,2 Banheiros,1 Vaga,"Rua Dona Ana Neri - Cambuci, São Paulo - SP"
702,"Apartamento com 2 Quartos à Venda, 45m²",R$ 248.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Antônio Ambuba, 70 - Parque Munhoz, São Paulo - SP"
703,"Apartamento com Quarto à Venda, 51m²",R$ 400.000,51,1 Quarto,1 Banheiro,-- Vaga,"Avenida Angélica, 177 - Santa Cecília, São Paulo - SP"
704,"Apartamento com 4 Quartos à Venda, 160m²",R$ 1.850.000,160,4 Quartos,5 Banheiros,3 Vagas,"Rua França Pinto, 537 - Vila Mariana, São Paulo - SP"
705,"Apartamento com 2 Quartos à Venda, 54m²",R$ 450.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua do Parque, 70 - Vila Dom Pedro I, São Paulo - SP"
706,"Apartamento com 3 Quartos à Venda, 107m²",R$ 1.250.000,107,3 Quartos,4 Banheiros,3 Vagas,"Rua Sebastião Paes - Campo Belo, São Paulo - SP"
707,"Apartamento com 2 Quartos à Venda, 95m²",R$ 1.000.000,95,2 Quartos,2 Banheiros,1 Vaga,"Rua Tutóia, 342 - Vila Mariana, São Paulo - SP"
708,"Apartamento com 3 Quartos à Venda, 74m²",R$ 640.000,74,3 Quartos,3 Banheiros,2 Vagas,"Rua Afonso de Freitas, 556 - Paraíso, São Paulo - SP"
709,"Apartamento com 4 Quartos à Venda, 167m²",R$ 2.500.000,167,4 Quartos,5 Banheiros,3 Vagas,"Rua Santa Elvira, 149 - Tatuapé, São Paulo - SP"
710,"Apartamento com 3 Quartos à Venda, 97m²",R$ 600.000,97,3 Quartos,2 Banheiros,2 Vagas,"Rua Copacabana, 491 - Santa Teresinha, São Paulo - SP"
711,"Apartamento com 2 Quartos à Venda, 82m²",R$ 870.000,82,2 Quartos,2 Banheiros,2 Vagas,"Avenida Susana, 93 - Vila Gumercindo, São Paulo - SP"
712,"Apartamento com 2 Quartos à Venda, 50m²",R$ 394.990,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Doutor Afonso Vergueiro, 1101 - Vila Maria, São Paulo - SP"
713,"Apartamento com 2 Quartos à Venda, 68m²",R$ 654.900,68,2 Quartos,2 Banheiros,1 Vaga,"Rua Clemente Pereira, 665 - Ipiranga, São Paulo - SP"
714,"Apartamento com 3 Quartos à Venda, 115m²",R$ 1.850.000,115,3 Quartos,2 Banheiros,1 Vaga,"Rua Tabapuã, 222 - Itaim Bibi, São Paulo - SP"
715,"Apartamento com 2 Quartos à Venda, 45m²",R$ 217.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Farid Miguel Haddad, 235 - Vila Santa Teresa, São Paulo - SP"
716,"Apartamento com 2 Quartos à Venda, 74m²",R$ 470.000,74,2 Quartos,2 Banheiros,1 Vaga,"Avenida Paula Ferreira, 89 - Freguesia do Ó, São Paulo - SP"
717,"Apartamento com 2 Quartos à Venda, 53m²",R$ 240.000,53,2 Quartos,1 Banheiro,1 Vaga,"Avenida Alexios Jafet, 1982 - Vila Aurora, São Paulo - SP"
718,"Apartamento com 2 Quartos à Venda, 68m²",R$ 275.000,68,2 Quartos,1 Banheiro,1 Vaga,"Avenida Patente, 193 - Jardim Patente, São Paulo - SP"
719,"Apartamento com 2 Quartos à Venda, 81m²",R$ 840.000,81,2 Quartos,2 Banheiros,1 Vaga,"Avenida Vinte e Três de Maio, 2952 - Vila Mariana, São Paulo - SP"
720,"Apartamento com 2 Quartos à Venda, 56m²",R$ 269.990,56,2 Quartos,1 Banheiro,1 Vaga,"Avenida Raimundo Pereira de Magalhães, 1720 - Jardim Íris, São Paulo - SP"
721,Just,R$ 650.000,60-71,2 Quartos,2 Banheiros,1-2 Vagas,"Avenida Brigadeiro Luís Antônio, 499 - Bela Vista, São Paulo - SP"
722,"Apartamento com 2 Quartos à Venda, 92m²",R$ 1.640.000,92,2 Quartos,3 Banheiros,2 Vagas,"Rua Pássaros e Flores - Brooklin, São Paulo - SP"
723,"Apartamento com 3 Quartos à Venda, 100m²",R$ 900.000,100,3 Quartos,4 Banheiros,2 Vagas,"Rua José de Cristo Moreira, 390 - Morumbi, São Paulo - SP"
724,"Apartamento com 3 Quartos à Venda, 127m²",R$ 725.000,127,3 Quartos,4 Banheiros,3 Vagas,"Rua Tiquatira, 497 - Bosque da Saúde, São Paulo - SP"
725,"Apartamento com Quarto à Venda, 29m²",R$ 408.000,29,1 Quarto,1 Banheiro,-- Vaga,"Avenida Miruna, 51 - Moema, São Paulo - SP"
726,"Apartamento com 3 Quartos à Venda, 300m²",R$ 5.290.000,300,3 Quartos,5 Banheiros,2 Vagas,"Rua Padre João Manuel, 328 - Jardins, São Paulo - SP"
727,"Apartamento com 2 Quartos à Venda, 54m²",R$ 550.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua Domingos Rodrigues, 509 - Lapa, São Paulo - SP"
728,BELLA VISTA PAULICEIA,R$ 485.000,48,2 Quartos,1 Banheiro,-- Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
729,"Apartamento com 3 Quartos à Venda, 87m²",R$ 810.000,87,3 Quartos,2 Banheiros,2 Vagas,"Rua das Flechas, 649 - Vila Santa Catarina, São Paulo - SP"
730,"Apartamento com 2 Quartos à Venda, 77m²",R$ 1.200.000,77,2 Quartos,2 Banheiros,2 Vagas,"Rua Topázio, 701 - Vila Mariana, São Paulo - SP"
731,"Apartamento com 2 Quartos à Venda, 46m²",R$ 450.000,46,2 Quartos,1 Banheiro,1 Vaga,"Rua Alfredo Pujol, 451 - Santana, São Paulo - SP"
732,"Apartamento com 2 Quartos à Venda, 70m²",R$ 670.000,70,2 Quartos,2 Banheiros,2 Vagas,"Rua Ribeiro do Amaral, 565 - Ipiranga, São Paulo - SP"
733,"Apartamento com 3 Quartos à Venda, 124m²",R$ 1.580.000,124,3 Quartos,4 Banheiros,3 Vagas,"Rua Natingui, 165 - Vila Madalena, São Paulo - SP"
734,"Apartamento com 3 Quartos à Venda, 170m²",R$ 1.170.000,170,3 Quartos,3 Banheiros,3 Vagas,"Rua João Antônio de Oliveira, 544 - Móoca, São Paulo - SP"
735,Bella Vista Pauliceia,R$ 403.000,39-107,1-2 Quartos,1 Banheiro,1 Vaga,"Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP"
736,"Apartamento com 2 Quartos à Venda, 50m²",R$ 450.000,50,2 Quartos,1 Banheiro,1 Vaga,"Rua Muniz de Sousa, 644 - Aclimação, São Paulo - SP"
737,"Apartamento com 2 Quartos à Venda, 64m²",R$ 470.000,64,2 Quartos,2 Banheiros,1 Vaga,"Rua Dona Ana Neri - Cambuci, São Paulo - SP"
738,"Apartamento com 2 Quartos à Venda, 45m²",R$ 248.000,45,2 Quartos,1 Banheiro,1 Vaga,"Rua Antônio Ambuba, 70 - Parque Munhoz, São Paulo - SP"
739,"Apartamento com Quarto à Venda, 51m²",R$ 400.000,51,1 Quarto,1 Banheiro,-- Vaga,"Avenida Angélica, 177 - Santa Cecília, São Paulo - SP"
740,"Apartamento com 4 Quartos à Venda, 160m²",R$ 1.850.000,160,4 Quartos,5 Banheiros,3 Vagas,"Rua França Pinto, 537 - Vila Mariana, São Paulo - SP"
741,"Apartamento com 2 Quartos à Venda, 54m²",R$ 450.000,54,2 Quartos,2 Banheiros,1 Vaga,"Rua do Parque, 70 - Vila Dom Pedro I, São Paulo - SP"
742,"Apartamento com 3 Quartos à Venda, 107m²",R$ 1.250.000,107,3 Quartos,4 Banheiros,3 Vagas,"Rua Sebastião Paes - Campo Belo, São Paulo - SP"
743,"Apartamento com 2 Quartos à Venda, 95m²",R$ 1.000.000,95,2 Quartos,2 Banheiros,1 Vaga,"Rua Tutóia, 342 - Vila Mariana, São Paulo - SP"
