property_describe|price|area|room|bath|garage|address
Um novo apê para transformar a qualidade de vida da sua família! Conheça o Reserva Areia Vermelha, o seu novo apê para realizar muitos sonhos! Os apartamentos em Cabedelo foram pr...|R$ 243.690|49 - 58 m²|1 - 2|1|1|Rua Golfo de Coronation, Ponta De Campina
Energia Solar Áreas Comuns, Elevador, Piso Laminado no Quarto, Piso Laminado na Sala, Lazer equipado, Previsão para medição de água individualizada, Sistema de segurança BIO, Prepa...|R$ 167.490|39 - 48 m²|1 - 2|1|2|Rua Golfo de Coronation, Ponta De Campina
Vendo apartemento Cond. Central Park. 2 /4 sendo 1 suite, sala, cozinha, area de Serviços, Varanda, BWC social. 67m² , 2 vagas garagem. Armarios nos quartos, cozinha e BWC´s. -|R$ 340.000|67 m²|2|2|2|Neópolis, Natal
O apartamento está localizado no bairro Lagoa Nova tem 80 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros, sala , varanda, cozinha e área de serviço amplas, armários pla...|R$ 240.000|80 m²|3|2|2|Rua Água Marinha, Lagoa Nova
More na primeira quadra da Roberto Freire, perto de tudo o que precisa. O Duo Capim Macio fica a poucos metros do Supermercado Nordestão da Av. Engenheiro Roberto Freire, Mc Donald...|R$ 670.911|134 m²|3|4|1|Capim Macio, Natal
O apartamento no bairro Neópolis com 67 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui academia, espaço gourmet, área verde de jardim, área de recreação infantil...|R$ 320.000|67 m²|2|2|1|Rua Lúcia Viveiros, Neópolis
"Condomínio 4 estações, Candelária.

Torre Inverno 18°
Melhor lado, final 03. Super ventilado. Sombra total.
Aceita financiamento
Valor 260mil"|R$ 260.000|54 m²|2|2|1|Avenida das Brancas Dunas, Candelária
O apartamento no bairro Capim Macio tem 57 metros quadrados com 2 quartos sendo 2 suites e 2 banheiros Possui área de fitness, área de recreação infantil, espaço para festas. Vai l...|R$ 300.000|57 m²|2|2|2|Capim Macio, Natal
Apartamento com excelente localização ao lado da Arena das Dunas. Andar alto e super ventilado, próximo a escolas, padarias, supermercados e hospitais. O apartamento conta com 55m...|R$ 400.000|55 m²|2|2|2|Lagoa Nova, Natal
A oportunidade que você tanto esperava chegou. Um dos mais lindos e aconchegantes apartamentos, em uma das melhores localizações da cidade de Natal, já pode ser seu. O Palazzo Barr...|R$ 618.000|84 m²|3|2|1|Rua Doutor José Bezerra, Barro Vermelho
Excelente apartamento em PONTA NEGRA 100% Mobiliado! A poucos minutos da praia mais bela do RN. Próximo à padarias, comércios, instituições de ensino, parada de ônibus, posto de...|R$ 240.000|56 m²|2|1|1|Avenida Deputado Antônio Florêncio de Queiroz, Ponta Negra
Apartamento em condomínio fechado, com 59 m² de área construída, 2/4 sendo 1 suite, sala ampliada, cozinha com armários projetados, banheiros também com projetados e box blindex e...|R$ 220.000|59 m²|2|2|1|Avenida Antônio Basílio, Nova Descoberta
Apartamento no Residencial Nova Amsterdã em Petrópolis/Alto da Ribeira com excelente localização, próximo a Supermercados, Escolas, Universidade, Hospitais, Lojas, Magazines e Banc...|R$ 180.000|55 m²|2|3|2|Rua Felipe Camarão, Cidade Alta
